


                               Automated Fatigue Crack
                                 Growth Rate Analysis

         Test ID               ct-lt-2        Geometry              C(t)  
         Contract              A10 Mod V      Orientation           ORIENT
         Material              2024-T351 AL   Yield (ksi)           65.0
         Temperature (F)           1          Modulus (Msi)          9.8
         Environment    lab air             

            Specimen Dimensions (in)

         Thickness              0.304         Height                 0.000
         Net Thickness          0.304         Notch Depth            0.000
         Width                  2.001         Gage Length            0.700

            Precrack Parameters

         Pmax (lbs)           725.0           Stress Ratio           0.10
         Final a (in)           0.485         Kmax (ksi sqr[in])     8.13

            Test Parameters

            EvBP     Freq      Pmax     R      Ai    Kmaxi     C       DKi
           20.396    6.19       650   0.10   0.000    0.00    0.00    0.00

              K Coeff (T1)     C Coeff                             
                .886          1.00098
                4.64         -4.66951
              -13.32          18.4601
               14.72         -236.825
                -5.6          1214.88
                   .         -2143.57

            Visual Observations

            EvB/P   Crack(EvB/P) Crack(visual)  Error        CAF
           20.396       0.484       0.485       0.001       0.997
           24.281       0.580       0.583       0.003       0.991
           29.107       0.677       0.672      -0.005       0.984
           35.193       0.774       0.772      -0.002       0.978
           42.913       0.872       0.875       0.003       0.972

            Comments

         Date of test: 7/14/2014 
         Waveform Type                    Sine




     Test ID  ct-lt-2                                                Page  1 

     Pmax   EvB/P     a        N      da      dN     da/dN      Kmax   deltaK
     (lb)           (in)             (in)           (in/cyc)    (ksi[in]^.5) 

            20.40  0.4839       77
      650   20.48  0.4863     5154  0.0024    5077   4.775E-7   7.297   6.568  
      650   20.73  0.4931    21021  0.0068   15867   4.307E-7   7.340   6.606  
      650   21.10  0.5029    43068  0.0098   22047   4.460E-7   7.424   6.681  
      650   21.46  0.5123    64871  0.0094   21803   4.301E-7   7.521   6.769  
      650   21.84  0.5221    83951  0.0098   19080   5.142E-7   7.619   6.857  
      650   22.22  0.5317   100226  0.0096   16275   5.882E-7   7.718   6.947  
      650   22.62  0.5416   115229  0.0099   15003   6.622E-7   7.819   7.037  
      650   23.02  0.5512   128520  0.0096   13291   7.222E-7   7.921   7.129  
      650   23.45  0.5612   140017  0.0100   11497   8.686E-7   8.024   7.222  
      650   23.89  0.5714   149447  0.0102    9430   1.082E-6   8.131   7.318  
      650   24.31  0.5809   157085  0.0095    7638   1.241E-6   8.237   7.413  
      650   24.74  0.5904   163910  0.0095    6825   1.391E-6   8.339   7.505  
      650   25.18  0.5999   170016  0.0095    6106   1.552E-6   8.442   7.598  
      650   25.63  0.6095   175481  0.0097    5465   1.769E-6   8.548   7.693  
      650   26.12  0.6196   180596  0.0101    5115   1.970E-6   8.657   7.791  
      650   26.59  0.6292   184962  0.0096    4366   2.200E-6   8.768   7.891  
      650   27.05  0.6384   188639  0.0092    3677   2.494E-6   8.874   7.987  
      650   27.58  0.6486   192317  0.0102    3678   2.762E-6   8.985   8.087  
      650   28.08  0.6581   195631  0.0096    3314   2.889E-6   9.099   8.190  
      650   28.61  0.6680   198576  0.0099    2945   3.354E-6   9.214   8.292  
      650   29.14  0.6776   201232  0.0095    2656   3.594E-6   9.329   8.396  
      650   29.67  0.6870   203708  0.0094    2476   3.796E-6   9.443   8.499  
      650   30.24  0.6969   206179  0.0099    2471   4.009E-6   9.561   8.605  
      650   30.81  0.7065   208533  0.0097    2354   4.115E-6   9.682   8.714  
      650   31.39  0.7163   210768  0.0097    2235   4.351E-6   9.803   8.823  
      650   31.98  0.7258   212961  0.0096    2193   4.359E-6   9.926   8.933  
      650   32.59  0.7354   215044  0.0096    2083   4.602E-6  10.049   9.044  
      650   33.22  0.7452   217028  0.0098    1984   4.937E-6  10.175   9.158  
      650   33.86  0.7550   219012  0.0098    1984   4.921E-6  10.305   9.275  
      650   34.54  0.7649   220806  0.0100    1794   5.549E-6  10.438   9.394  
      650   35.20  0.7745   222490  0.0096    1684   5.694E-6  10.572   9.515  
      650   35.92  0.7846   224083  0.0101    1593   6.358E-6  10.709   9.638  
      650   36.63  0.7944   225598  0.0097    1515   6.419E-6  10.849   9.764  
      650   37.35  0.8041   227038  0.0097    1440   6.742E-6  10.989   9.890  
      650   38.09  0.8138   228447  0.0097    1409   6.864E-6  11.131  10.018  
      650   38.84  0.8233   229841  0.0095    1394   6.831E-6  11.274  10.147  
      650   39.63  0.8331   231174  0.0099    1333   7.404E-6  11.421  10.279  
      650   40.46  0.8432   232447  0.0101    1273   7.902E-6  11.575  10.418  
      650   41.24  0.8525   233598  0.0093    1151   8.059E-6  11.728  10.555  
      650   42.06  0.8620   234728  0.0096    1130   8.453E-6  11.879  10.691  
      650   42.95  0.8721   235896  0.0100    1168   8.597E-6  12.039  10.835  
      650   43.85  0.8822   236965  0.0101    1069   9.482E-6  12.208  10.987  
      650   44.74  0.8920   237983  0.0098    1018   9.601E-6  12.378  11.140  





     Test ID  ct-lt-2                                                Page  2 

     Pmax   EvB/P     a        N      da      dN     da/dN      Kmax   deltaK
     (lb)           (in)             (in)           (in/cyc)    (ksi[in]^.5) 

      650   45.74  0.9028   239001  0.0108    1018   1.058E-5  12.556  11.301  
      650   46.70  0.9127   239923  0.0100     922   1.084E-5  12.741  11.467  
      650   47.68  0.9227   240826  0.0099     903   1.098E-5  12.923  11.630  
      650   48.71  0.9328   241720  0.0102     894   1.137E-5  13.110  11.799  
      650   49.77  0.9429   242537  0.0101     817   1.238E-5  13.303  11.973  
      650   50.84  0.9529   243314  0.0100     777   1.285E-5  13.500  12.149  
      650   52.01  0.9635   244053  0.0106     739   1.431E-5  13.705  12.334  
      650   53.15  0.9735   244748  0.0100     695   1.441E-5  13.916  12.524  
      650   54.33  0.9836   245437  0.0101     689   1.469E-5  14.128  12.715  
      650   55.53  0.9935   246094  0.0099     657   1.504E-5  14.343  12.909  
      650   56.78  1.0036   246720  0.0101     626   1.610E-5  14.564  13.107  
      650   58.07  1.0136   247316  0.0100     596   1.683E-5  14.791  13.312  
      650   59.37  1.0235   247894  0.0098     578   1.703E-5  15.022  13.520  
      650   60.72  1.0334   248464  0.0099     570   1.743E-5  15.258  13.732  
      650   62.16  1.0436   249008  0.0102     544   1.882E-5  15.506  13.955  
      650   63.70  1.0542   249527  0.0105     519   2.032E-5  15.768  14.191  
      650   65.24  1.0645   249998  0.0103     471   2.182E-5  16.038  14.433  
      650   66.80  1.0745   250423  0.0100     425   2.360E-5  16.308  14.677  
      650   68.33  1.0840   250847  0.0095     424   2.252E-5  16.577  14.919  
      650   70.05  1.0944   251271  0.0104     424   2.444E-5  16.858  15.171  
      650   71.82  1.1047   251675  0.0103     404   2.546E-5  17.158  15.441  
      650   73.64  1.1149   252039  0.0102     364   2.815E-5  17.465  15.718  
      650   75.45  1.1248   252378  0.0099     339   2.908E-5  17.776  15.997  
      650   77.39  1.1350   252717  0.0102     339   2.998E-5  18.094  16.284  
      650   79.39  1.1451   253025  0.0101     308   3.291E-5  18.427  16.583  
      650   81.43  1.1550   253314  0.0099     289   3.442E-5  18.767  16.889  
      650   83.67  1.1656   253603  0.0105     289   3.636E-5  19.124  17.211  
      650   85.84  1.1754   253866  0.0099     263   3.753E-5  19.492  17.542  
      650   88.08  1.1852   254111  0.0098     245   3.980E-5  19.858  17.871  
      650   90.53  1.1955   254345  0.0103     234   4.399E-5  20.243  18.217  
      650   92.95  1.2053   254557  0.0098     212   4.632E-5  20.641  18.577  
      650   95.67  1.2159   254758  0.0106     201   5.256E-5  21.060  18.954  
      650   98.38  1.2259   254949  0.0101     191   5.280E-5  21.501  19.349  
      650  101.26  1.2363   255130  0.0103     181   5.699E-5  21.952  19.754  
      650  104.25  1.2465   255303  0.0103     173   5.944E-5  22.424  20.176  
      650  107.42  1.2570   255458  0.0104     155   6.717E-5  22.912  20.616  
      650  110.52  1.2667   255580  0.0098     122   8.026E-5  23.406  21.061  
      650  113.69  1.2763   255688  0.0096     108   8.878E-5  23.900  21.504  
      650  117.32  1.2869   255806  0.0105     118   8.929E-5  24.432  21.983  
      650  120.95  1.2969   255912  0.0100     106   9.473E-5  24.995  22.488  
      650  124.71  1.3069   255998  0.0100      86   1.158E-4  25.563  22.995  
      650  128.73  1.3170   256074  0.0102      76   1.338E-4  26.157  23.528  
      650  133.08  1.3275   256141  0.0105      67   1.569E-4  26.791  24.095  
      650  137.49  1.3377   256201  0.0101      60   1.687E-4  27.451  24.684  
      650  141.98  1.3475   256258  0.0099      57   1.730E-4  28.116  25.281  





     Test ID  ct-lt-2                                                Page  3 

     Pmax   EvB/P     a        N      da      dN     da/dN      Kmax   deltaK
     (lb)           (in)             (in)           (in/cyc)    (ksi[in]^.5) 

      649  146.96  1.3579   256310  0.0104      52   1.998E-4  28.814  25.905  
      649  152.22  1.3684   256351  0.0104      41   2.548E-4  29.557  26.564  
      649  157.39  1.3781   256380  0.0098      29   3.363E-4  30.311  27.233  
      648  163.05  1.3883   256406  0.0101      26   3.900E-4  31.080  27.905  
      648  168.95  1.3983   256428  0.0100      22   4.563E-4  31.899  28.603  
      648  175.11  1.4082   256447  0.0099      19   5.237E-4  32.740  29.343  
      647  181.83  1.4185   256463  0.0103      16   6.428E-4  33.621  30.118  
      646  188.95  1.4288   256476  0.0103      13   7.918E-4  34.544  30.895  
      645  196.49  1.4391   256486  0.0103      10   1.030E-3  35.494  31.665  
      643  204.19  1.4491   256495  0.0099       9   1.104E-3  36.431  32.407  
      639  212.97  1.4597   256502  0.0107       7   1.524E-3  37.363  33.099  
